"cd_periodo","tx_grupo","nu_valor"
"202012","Bancos Públicos / Public Banks","11,4792609216784"
"202012","Compañías Financieras / Financial Companies","1,95028105236096"
"202012","EEFF / Financial Institutions","35,4357517091773"
"202012","OPNFC / Other Non-Financial Credit Providers","6,98568993416061"
"202012","PNFC / Non-Financial Credit Providers","20,0700239457289"
"202012","TCNB / Non-Bank Credit Cards","15,1780872904835"
"202101","Bancos Privados / Private Banks","26,7395333808294"
"202101","Bancos Públicos / Public Banks","11,4529937824539"
"202101","Compañías Financieras / Financial Companies","1,95711393094177"
"202101","EEFF / Financial Institutions","35,2652294233296"
"202101","OPNFC / Other Non-Financial Credit Providers","6,97507079281003"
"202101","PNFC / Non-Financial Credit Providers","20,0359710107088"
"202101","TCNB / Non-Bank Credit Cards","15,148483781653"
"202102","Bancos Privados / Private Banks","26,5604343023119"
"202102","Bancos Públicos / Public Banks","11,4565398523694"
"202102","Compañías Financieras / Financial Companies","1,94931767681237"
"202102","EEFF / Financial Institutions","35,1424580422646"
"202102","OPNFC / Other Non-Financial Credit Providers","6,89273629406467"
"202102","PNFC / Non-Financial Credit Providers","20,0811200900256"
"202102","TCNB / Non-Bank Credit Cards","15,2864425456063"
"202103","Bancos Privados / Private Banks","26,4859180516003"
"202103","Bancos Públicos / Public Banks","11,4886720270766"
"202103","Compañías Financieras / Financial Companies","1,97585395619247"
"202103","EEFF / Financial Institutions","35,135038359006"
"202103","OPNFC / Other Non-Financial Credit Providers","9,39603761346612"
"202103","PNFC / Non-Financial Credit Providers","22,0975244021516"
"202103","TCNB / Non-Bank Credit Cards","15,2679915280241"
"202104","Bancos Privados / Private Banks","26,3150465424122"
"202104","Bancos Públicos / Public Banks","11,5402189822189"
"202104","Compañías Financieras / Financial Companies","1,97405083640464"
"202104","EEFF / Financial Institutions","35,0662086061884"
"202104","OPNFC / Other Non-Financial Credit Providers","9,78101345375956"
"202104","PNFC / Non-Financial Credit Providers","22,4143952962687"
"202104","TCNB / Non-Bank Credit Cards","15,2898672077538"
"202105","Bancos Privados / Private Banks","26,2024085407257"
"202105","Bancos Públicos / Public Banks","11,5434413251654"
"202105","Compañías Financieras / Financial Companies","1,97430673928887"
"202105","EEFF / Financial Institutions","34,9912379076669"
"202105","OPNFC / Other Non-Financial Credit Providers","9,72929163835505"
"202105","PNFC / Non-Financial Credit Providers","22,3934490145484"
"202105","TCNB / Non-Bank Credit Cards","15,2842714188514"
"202106","Bancos Privados / Private Banks","26,1629855680926"
"202106","Bancos Públicos / Public Banks","11,5170238506118"
"202106","Compañías Financieras / Financial Companies","1,93347760643399"
"202106","EEFF / Financial Institutions","34,9290808577297"
"202106","OPNFC / Other Non-Financial Credit Providers","9,97926888774607"
"202106","PNFC / Non-Financial Credit Providers","22,3639151670482"
"202106","TCNB / Non-Bank Credit Cards","15,0326088668442"
"202107","Bancos Privados / Private Banks","26,0798868996538"
"202107","Bancos Públicos / Public Banks","11,5309747192893"
"202107","Compañías Financieras / Financial Companies","1,91158293913679"
"202107","EEFF / Financial Institutions","34,8897239695591"
"202107","OPNFC / Other Non-Financial Credit Providers","10,3725551014833"
"202107","PNFC / Non-Financial Credit Providers","22,5889912583279"
"202107","TCNB / Non-Bank Credit Cards","14,9258375857236"
"202108","Bancos Privados / Private Banks","26,0201360349974"
"202108","Bancos Públicos / Public Banks","11,5839015635483"
"202108","Compañías Financieras / Financial Companies","1,90269328419879"
"202108","EEFF / Financial Institutions","34,9027988089724"
"202108","OPNFC / Other Non-Financial Credit Providers","10,7885718049529"
"202108","PNFC / Non-Financial Credit Providers","22,9917532044528"
"202108","TCNB / Non-Bank Credit Cards","15,0007603991043"
"202109","Bancos Privados / Private Banks","25,8838331348122"
"202109","Bancos Públicos / Public Banks","11,6227386168877"
"202109","Compañías Financieras / Financial Companies","1,87732466026713"
"202109","EEFF / Financial Institutions","34,8326899198918"
"202109","OPNFC / Other Non-Financial Credit Providers","11,1831317804744"
"202109","PNFC / Non-Financial Credit Providers","23,0246101047759"
"202109","TCNB / Non-Bank Credit Cards","14,6333215200665"
"202110","Bancos Privados / Private Banks","25,9587830531517"
"202110","Bancos Públicos / Public Banks","11,7308220730087"
"202110","Compañías Financieras / Financial Companies","1,86509122512139"
