scope,id,tema,titulo,url,declared_local_path,url_extension,audit_state,local_matches,versions,reference_files,registry_statuses,period_or_role,already_in_master_catalog
data/fuentes/FUENTES.csv,bcra_isb_jul2018_ciclo,ciclo_ajuste_bancos,Informe sobre Bancos · julio 2018,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-julio-de-2018/,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_isb_jul2018_ciclo.pdf,,PRESERVED_LOCAL_HASH_OK,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_isb_jul2018_ciclo.pdf,,,,2018-07,True
data/fuentes/FUENTES.csv,bcra_isb_jun2014_ciclo,ciclo_ajuste_bancos,Informe sobre Bancos · junio 2014,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-junio-de-2014/,/data/fuentes/ciclo_ajuste/backfill_v96_round2/bcra_isb_jun2014_ciclo.pdf,,PRESERVED_LOCAL_HASH_OK,/data/fuentes/ciclo_ajuste/backfill_v96_round2/bcra_isb_jun2014_ciclo.pdf,,,,2014-Q2,True
data/fuentes/FUENTES.csv,bcra_isb_jun2018_ciclo,ciclo_ajuste_bancos,Informe sobre Bancos · junio 2018,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-junio-de-2018/,/data/fuentes/ciclo_ajuste/backfill_v96_round2/bcra_isb_jun2018_ciclo.pdf,,PRESERVED_LOCAL_HASH_OK,/data/fuentes/ciclo_ajuste/backfill_v96_round2/bcra_isb_jun2018_ciclo.pdf,,,,2018-H1,True
data/fuentes/FUENTES.csv,bcra_isb_mar2024_ciclo,ciclo_ajuste_bancos,Informe sobre Bancos · marzo 2024,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-marzo-de-2024/,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_isb_mar2024_ciclo.pdf,,PRESERVED_LOCAL_HASH_OK,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_isb_mar2024_ciclo.pdf,,,,2024-Q1,True
data/fuentes/FUENTES.csv,bcra_isb_may2018_ciclo,ciclo_ajuste_bancos,Informe sobre Bancos · mayo 2018,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-mayo-de-2018/,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_isb_may2018_ciclo.pdf,,PRESERVED_LOCAL_HASH_OK,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_isb_may2018_ciclo.pdf,,,,2018-05,True
data/fuentes/FUENTES.csv,bcra_isb_nov2018_ciclo,ciclo_ajuste_bancos,Informe sobre Bancos · noviembre 2018,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-noviembre-de-2018/,/data/fuentes/ciclo_ajuste/backfill_v96_round2/bcra_isb_nov2018_ciclo.pdf,,PRESERVED_LOCAL_HASH_OK,/data/fuentes/ciclo_ajuste/backfill_v96_round2/bcra_isb_nov2018_ciclo.pdf,,,,2018-11,True
data/fuentes/FUENTES.csv,bcra_isb_nov2023_ciclo,ciclo_ajuste_bancos,Informe sobre Bancos · noviembre 2023,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-noviembre-2023/,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_isb_nov2023_ciclo.pdf,,PRESERVED_LOCAL_HASH_OK,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_isb_nov2023_ciclo.pdf,,,,2023-11,True
data/fuentes/FUENTES.csv,bcra_isb_oct2018_ciclo,ciclo_ajuste_bancos,Informe sobre Bancos · octubre 2018,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-octubre-de-2018/,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_isb_oct2018_ciclo.pdf,,PRESERVED_LOCAL_HASH_OK,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_isb_oct2018_ciclo.pdf,,,,2018-10,True
data/fuentes/FUENTES.csv,bcra_isb_sep2018_ciclo,ciclo_ajuste_bancos,Informe sobre Bancos · septiembre 2018,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-septiembre-de-2018/,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_isb_sep2018_ciclo.pdf,,PRESERVED_LOCAL_HASH_OK,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_isb_sep2018_ciclo.pdf,,,,2018-09,True
data/fuentes/FUENTES.csv,bcra_isb_sep2024_ciclo,ciclo_ajuste_bancos,Informe sobre Bancos · septiembre 2024,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-septiembre-de-2024/,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_isb_sep2024_ciclo.pdf,,PRESERVED_LOCAL_HASH_OK,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_isb_sep2024_ciclo.pdf,,,,2024-Q3,True
data/fuentes/FUENTES.csv,wid_argentina_wealth_2026,concentracion_patrimonial,World Inequality Report 2026 · Argentina country sheet,https://wir2026.wid.world/www-site/uploads/2025/11/WIR26_Country_Sheets.pdf,/data/fuentes/grandes_fortunas/wid/wid_contexto_argentina_2026.txt,.pdf,PRESERVED_LOCAL_HASH_OK,/data/fuentes/grandes_fortunas/wid/wid_contexto_argentina_2026.txt,,,,2024,True
data/fuentes/FUENTES.csv,audit_cftea_ref,credito_cftea,Auditoría CFTEA de referencia y carga del crédito,,/data/fuentes/tasas/metodologia/AUDITORIA_CFTEA_REFERENCIA_Y_CARGA_CREDITO.md,,PRESERVED_LOCAL_HASH_OK,/data/fuentes/tasas/metodologia/AUDITORIA_CFTEA_REFERENCIA_Y_CARGA_CREDITO.md,,,,2019-2026,True
data/fuentes/FUENTES.csv,deriv_cftea_brecha,credito_cftea,Brecha costo crédito vs CFTEA referencia,,/data/derivados/tasas/brecha_costo_credito_vs_cftea_referencia_2019_2026.csv,,PRESERVED_LOCAL_HASH_OK,/data/derivados/tasas/brecha_costo_credito_vs_cftea_referencia_2019_2026.csv,,,,2019-2026,True
