path,bytes,mib,over_50_mib,over_100_mib
data/fuentes/ciclo_ajuste/backfill_v96/macro_eeff_fy2023_aq.pdf,1845158,1.759680,False,False
data/fuentes/ciclo_ajuste/backfill_v96/santander_eeff_9m2023_sep_mirror.pdf,1327535,1.266036,False,False
data/fuentes/ciclo_ajuste/backfill_v96/santander_eeff_fy2023_aq_mirror.pdf,2027764,1.933826,False,False
data/fuentes/ciclo_ajuste/backfill_v96/supervielle_eeff_9m2023_sep.pdf,2166044,2.065701,False,False
data/fuentes/ciclo_ajuste/backfill_v96/supervielle_eeff_fy2023_aq.pdf,4178726,3.985144,False,False
data/fuentes/ciclo_ajuste/backfill_v96/valo_eeff_9m2023_aq_mirror.pdf,833979,0.795344,False,False
data/fuentes/ciclo_ajuste/backfill_v96/valo_eeff_fy2023_aq.pdf,3459222,3.298971,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round2/bapro_disciplina_sep2023_control.pdf,954250,0.910044,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round2/bapro_eeff_fy2023_aq.pdf,3328448,3.174255,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round2/bcra_bolmetes_prestamos_titular.pdf,1457023,1.389525,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round2/bcra_isb_abr2014_ciclo.pdf,290541,0.277081,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round2/bcra_isb_dic2023_ciclo.pdf,323633,0.308640,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round2/bcra_isb_jul2014_ciclo.pdf,332533,0.317128,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round2/bcra_isb_jun2014_ciclo.pdf,356496,0.339981,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round2/bcra_isb_jun2018_ciclo.pdf,512087,0.488364,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round2/bcra_isb_nov2018_ciclo.pdf,503833,0.480493,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round2/credicoop_eeff_fy2023_aq.pdf,1990053,1.897862,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_baldethis.xls,1577472,1.504395,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_bef_1s2015.pdf,2473201,2.358628,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_bef_2s2016.pdf,1679546,1.601740,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_depuva_mensual.xls,308224,0.293945,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_din3_ser.txt,22896971,21.836253,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_din4_ser.txt.zip,13825733,13.185246,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_entidades_jun2023.pdf,6341673,6.047891,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_finuva_mensual.xls,641536,0.611816,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_ief_1s2025.pdf,1224146,1.167437,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_infbanc_dic2018_series.xls,2259968,2.155273,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_infbanc_dic2023_xlsx.xlsx,176637,0.168454,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_infbanc_jun2023_xlsx.xlsx,141381,0.134831,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_informe_bancos_anexo.xlsx,2651613,2.528775,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_informe_congreso_2024.pdf,8086930,7.712297,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_perser_priv.xls,1047040,0.998535,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_perser_pub.xls,2678784,2.554688,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_t_cladeu.pdf,2334724,2.226566,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_t_prevmi.pdf,1124725,1.072621,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_t_so_s12.pdf,3352716,3.197399,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_titpubser.xls,922112,0.879395,False,False
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bna_memoria_2023_es.pdf,6634939,6.327571,False,False
