periodo,estrato_ipcf,combinacion_exacta,porcentaje_ponderado,hogares_expandidos,hogares_expandidos_denominador,n_muestral
2025-Q2,total,ahorro+prestamo_familia+prestamo_banco,0.62,62797,10126162,16169
2025-Q2,total,prestamo_familia+cuotas_fiado+venta,0.576,58282,10126162,16169
2025-Q2,total,prestamo_familia+venta,0.354,35859,10126162,16169
2025-Q2,total,prestamo_banco+cuotas_fiado+venta,0.328,33178,10126162,16169
2025-Q2,total,ahorro+prestamo_familia+prestamo_banco+venta,0.258,26110,10126162,16169
2025-Q2,total,prestamo_familia+prestamo_banco+cuotas_fiado+venta,0.255,25820,10126162,16169
2025-Q2,total,prestamo_familia+prestamo_banco,0.247,25001,10126162,16169
2025-Q2,total,ahorro+prestamo_banco+venta,0.208,21030,10126162,16169
2025-Q2,total,prestamo_banco+venta,0.17,17229,10126162,16169
2025-Q2,total,prestamo_familia+prestamo_banco+venta,0.069,6962,10126162,16169
2025-Q2,bajo,ninguna,32.524,1340937,4122882,8962
2025-Q2,bajo,cuotas_fiado,14.285,588955,4122882,8962
2025-Q2,bajo,ahorro,9.529,392882,4122882,8962
2025-Q2,bajo,ahorro+cuotas_fiado,6.758,278644,4122882,8962
2025-Q2,bajo,ahorro+prestamo_familia+cuotas_fiado,3.471,143112,4122882,8962
2025-Q2,bajo,ahorro+prestamo_familia,3.097,127688,4122882,8962
2025-Q2,bajo,ahorro+prestamo_banco+cuotas_fiado,2.507,103341,4122882,8962
2025-Q2,bajo,prestamo_familia+cuotas_fiado,2.455,101222,4122882,8962
2025-Q2,bajo,prestamo_banco+cuotas_fiado,2.22,91526,4122882,8962
2025-Q2,bajo,prestamo_familia,2.193,90428,4122882,8962
2025-Q2,bajo,ahorro+prestamo_familia+cuotas_fiado+venta,1.984,81816,4122882,8962
2025-Q2,bajo,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado,1.911,78801,4122882,8962
2025-Q2,bajo,prestamo_banco,1.763,72696,4122882,8962
2025-Q2,bajo,ahorro+venta,1.73,71322,4122882,8962
2025-Q2,bajo,venta,1.687,69567,4122882,8962
2025-Q2,bajo,ahorro+prestamo_familia+venta,1.639,67591,4122882,8962
2025-Q2,bajo,prestamo_familia+cuotas_fiado+venta,1.255,51755,4122882,8962
2025-Q2,bajo,cuotas_fiado+venta,1.154,47558,4122882,8962
2025-Q2,bajo,ahorro+prestamo_familia+prestamo_banco,1.01,41627,4122882,8962
2025-Q2,bajo,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado+venta,0.936,38576,4122882,8962
2025-Q2,bajo,prestamo_familia+prestamo_banco+cuotas_fiado,0.77,31733,4122882,8962
2025-Q2,bajo,prestamo_familia+venta,0.757,31203,4122882,8962
2025-Q2,bajo,ahorro+prestamo_banco,0.744,30682,4122882,8962
2025-Q2,bajo,ahorro+cuotas_fiado+venta,0.635,26184,4122882,8962
2025-Q2,bajo,ahorro+prestamo_banco+cuotas_fiado+venta,0.513,21165,4122882,8962
2025-Q2,bajo,ahorro+prestamo_familia+prestamo_banco+venta,0.509,20970,4122882,8962
2025-Q2,bajo,prestamo_banco+cuotas_fiado+venta,0.43,17726,4122882,8962
2025-Q2,bajo,prestamo_familia+prestamo_banco,0.42,17315,4122882,8962
2025-Q2,bajo,prestamo_familia+prestamo_banco+cuotas_fiado+venta,0.418,17246,4122882,8962
2025-Q2,bajo,prestamo_banco+venta,0.331,13636,4122882,8962
2025-Q2,bajo,ahorro+prestamo_banco+venta,0.223,9192,4122882,8962
2025-Q2,bajo,prestamo_familia+prestamo_banco+venta,0.14,5786,4122882,8962
2025-Q2,medio,ninguna,28.395,1136987,4004146,4958
2025-Q2,medio,cuotas_fiado,21.86,875295,4004146,4958
2025-Q2,medio,ahorro+cuotas_fiado,14.047,562468,4004146,4958
2025-Q2,medio,ahorro,8.103,324447,4004146,4958
2025-Q2,medio,prestamo_banco+cuotas_fiado,3.981,159407,4004146,4958
2025-Q2,medio,ahorro+prestamo_banco+cuotas_fiado,3.167,126826,4004146,4958
2025-Q2,medio,ahorro+prestamo_familia+cuotas_fiado,2.358,94435,4004146,4958
2025-Q2,medio,ahorro+prestamo_familia,2.038,81595,4004146,4958
2025-Q2,medio,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado,1.853,74180,4004146,4958
2025-Q2,medio,prestamo_banco,1.8,72083,4004146,4958
2025-Q2,medio,ahorro+prestamo_familia+cuotas_fiado+venta,1.543,61776,4004146,4958
2025-Q2,medio,prestamo_familia+cuotas_fiado,1.241,49682,4004146,4958
2025-Q2,medio,prestamo_familia,1.201,48094,4004146,4958
