persona_id,persona,anio,tipo_ddjj,rectificativa,dj_id,periodo_controlado,bienes_resumen_ars,bienes_detalle_ars,bienes_ratio_resumen_detalle,bienes_estado,deudas_resumen_ars,deudas_detalle_ars,deudas_ratio_resumen_detalle,deudas_estado,calidad_fuente,fuente_url
dip-de-la-sota-natalia,Natalia de la Sota,2024,Anual,0,800434,cierre,716427375.69,716427375.69,1.0,concilia,7923319.5,0.0,,detalle_ausente,detalle_ausente_o_cero,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-de-sensi-maria-florencia,María Florencia De Sensi,2023,Anual,0,737789,cierre,62756281.26,62756281.26,1.0,concilia,0.0,0.0,,concilia_cero,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-de-sensi-maria-florencia,María Florencia De Sensi,2024,Anual,0,801105,cierre,65475489.55,65475489.55,1.0,concilia,12975621.48,0.0,,detalle_ausente,detalle_ausente_o_cero,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-del-cano-nicolas,Nicolás del Caño,2022,Anual,2,667840,cierre,2486113.15,2486113.15,1.0,concilia,0.0,0.0,,concilia_cero,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-del-cano-nicolas,Nicolás del Caño,2023,Anual,0,741184,cierre,5525909.96,5525909.96,1.0,concilia,0.0,0.0,,concilia_cero,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-del-cano-nicolas,Nicolás del Caño,2024,Anual,0,811919,cierre,5874188.09,5874188.09,1.0,concilia,0.0,0.0,,concilia_cero,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-del-pla-romina,Romina Del Plá,2023,Baja,0,700411,cierre,6434480.92,6434480.92,1.0,concilia,0.0,0.0,,concilia_cero,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-del-pla-romina,Romina Del Plá,2024,Anual,0,820747,cierre,599620000.0,59962000.0,10.0,resumen_10x_detalle,0.0,0.0,,concilia_cero,quiebre_escala_decimal,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-diaz-fernanda,Fernanda Díaz,2024,Anual,0,824504,cierre,14883620.49,14883620.49,1.0,concilia,16213507.5,0.0,,detalle_ausente,detalle_ausente_o_cero,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-emma-nicolas,Nicolás Emma,2023,Anual,0,743881,cierre,4884281.82,4884281.82,1.0,concilia,2018329.44,2018329.44,1.0,concilia,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-emma-nicolas,Nicolás Emma,2024,Anual,0,784464,cierre,36333890.74,36333890.74,1.0,concilia,245000000.0,24500000.0,10.0,resumen_10x_detalle,quiebre_escala_decimal,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-estevez-gabriela-beatriz,Gabriela Beatriz Estévez,2022,Anual,0,661294,cierre,4207867.65,4207867.65,1.0,concilia,5020000.0,502000.0,10.0,resumen_10x_detalle,quiebre_escala_decimal,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-estevez-gabriela-beatriz,Gabriela Beatriz Estévez,2023,Anual,0,718182,cierre,314262300.0,31426230.0,10.0,resumen_10x_detalle,2940000.0,294000.0,10.0,resumen_10x_detalle,quiebre_escala_decimal,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-estevez-gabriela-beatriz,Gabriela Beatriz Estévez,2024,Anual,0,805974,cierre,398423100.0,39842310.0,10.0,resumen_10x_detalle,18476349.42,0.0,,detalle_ausente,quiebre_escala_decimal,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-fargosi-alejandro,Alejandro Fargosi,2024,Anual,0,823124,cierre,347467502.61,347467502.61,1.0,concilia,58171888.22,0.0,,detalle_ausente,detalle_ausente_o_cero,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-farias-pablo,Pablo Farías,2024,Anual,0,828387,cierre,68312135.72,68312135.72,1.0,concilia,84010000.0,0.0,,detalle_ausente,detalle_ausente_o_cero,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-fernandez-elia-marina,Elia Marina Fernández,2023,Anual,0,708388,cierre,56674030.91,56674030.91,1.0,concilia,0.0,0.0,,concilia_cero,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-fernandez-elia-marina,Elia Marina Fernández,2024,Anual,0,787296,cierre,107477936.63,107477936.63,1.0,concilia,14220967.26,14220967.26,1.0,concilia,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-fernandez-molero-daiana,Daiana Fernández Molero,2022,Anual,0,677138,cierre,11656328.8,11656328.8,1.0,concilia,0.0,0.0,,concilia_cero,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-fernandez-molero-daiana,Daiana Fernández Molero,2023,Anual,0,728451,cierre,108928656.84,108928656.84,1.0,concilia,0.0,0.0,,concilia_cero,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-fernandez-molero-daiana,Daiana Fernández Molero,2024,Anual,0,803118,cierre,146063942.45,146063942.45,1.0,concilia,0.0,0.0,,concilia_cero,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-ferraro-maximiliano,Maximiliano Ferraro,2022,Anual,0,659066,cierre,2596945.78,2596945.78,1.0,concilia,232317.07,232317.07,1.0,concilia,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-ferraro-maximiliano,Maximiliano Ferraro,2023,Anual,0,740076,cierre,5942925.69,5942925.69,1.0,concilia,926002.1,926002.1,1.0,concilia,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-ferraro-maximiliano,Maximiliano Ferraro,2024,Anual,0,812591,cierre,12538985.92,12538985.92,1.0,concilia,2264584.62,0.0,,detalle_ausente,detalle_ausente_o_cero,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-finocchiaro-alejandro,Alejandro Finocchiaro,2022,Anual,1,667170,cierre,86880872.18,86880872.18,1.0,concilia,3407500.0,340750.0,10.0,resumen_10x_detalle,quiebre_escala_decimal,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-finocchiaro-alejandro,Alejandro Finocchiaro,2023,Anual,0,733772,cierre,138076741.04,138076741.04,1.0,concilia,1978070.0,197807.0,10.0,resumen_10x_detalle,quiebre_escala_decimal,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-finocchiaro-alejandro,Alejandro Finocchiaro,2024,Anual,0,787036,cierre,277791960.4,277791960.4,1.0,concilia,0.0,0.0,,concilia_cero,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
