date,original,sa,tc,population,pc_sa_raw,pc_tc_raw,sa_nov2023_100,tc_nov2023_100,pc_sa_raw_nov2023_100,pc_tc_raw_nov2023_100,running_peak_sa,drawdown_sa_pct,running_peak_pc,drawdown_pc_pct,gap_nov2023,cum_loss_months_base,cum_recovery_months_base,cum_net_months_base
2006-01,106.53094787692405,113.85835877601714,112.72244214900033,40052852.71460754,2.842702855332256e-06,2.8143424128161967e-06,77.79343134869544,77.72383181056334,89.81790761111665,89.73755012106449,113.85835877601714,0.0,2.842702855332256e-06,0.0,-0.2220656865130456,0.0,0.0,0.0
2006-02,104.0901370432872,114.74327778974681,113.50710370832262,40087829.33245576,2.862297103646088e-06,2.8314604606547108e-06,78.39804999315666,78.26486784475753,90.43700657232529,90.28337271496353,114.74327778974681,0.0,2.862297103646088e-06,0.0,-0.2160195000684334,0.0,0.0,0.0
2006-03,118.58827645043104,114.29222252980547,114.31989511724908,40119421.11631867,2.8488003901760394e-06,2.849490145578127e-06,78.08986764470262,78.8252998364719,90.01056503931996,90.85826358364892,114.74327778974681,-0.39309950755271883,2.862297103646088e-06,-0.471534329991663,-0.21910132355297374,0.0,0.0,0.0
2006-04,122.08710730131627,115.85853185740707,115.15368596944462,40154397.7341669,2.885326101126513e-06,2.867772709026631e-06,79.16004447192441,79.40021126249982,91.16462970894457,91.44121768558423,115.85853185740707,0.0,2.885326101126513e-06,0.0,-0.20839955528075593,0.0,0.0,0.0
2006-05,133.37101567477424,115.0751311561637,116.00457050224863,40188246.07402002,2.863402671124651e-06,2.886529814926176e-06,78.62478795386248,79.98690904030747,90.47193803111676,92.0393029516561,115.85853185740707,-0.6761700572967211,2.885326101126513e-06,-0.7598250330630774,-0.21375212046137515,0.0,0.0,0.0
2006-06,124.29274775102324,116.24646481480154,116.86712999916358,40223222.691868246,2.89003359341226e-06,2.905464111974054e-06,79.42509866920412,80.58165688276641,91.31336741693546,92.64303809866716,116.24646481480154,0.0,2.89003359341226e-06,0.0,-0.2057490133079588,0.0,0.0,0.0
2006-07,117.04563185352679,118.13854703544126,117.73617509392808,40257071.03172137,2.934603636274274e-06,2.9246085737622466e-06,80.71785898930482,81.18087664321116,92.72160042465022,93.25347451586903,118.13854703544126,0.0,2.934603636274274e-06,0.0,-0.19282141010695186,0.0,0.0,0.0
2006-08,116.30360797574892,118.76510180681286,118.61164370462201,40291126.21762251,2.9476739162199804e-06,2.9438651842088176e-06,81.14595092841996,81.78452551521713,93.13456838379265,93.86748688239616,118.76510180681286,0.0,2.9476739162199804e-06,0.0,-0.18854049071580037,0.0,0.0,0.0
2006-09,114.80248033323909,119.80162031566624,119.49538397462136,40325181.403523654,2.970888565059198e-06,2.963294393616286e-06,81.85414953875443,82.3938778216448,93.86805735213635,94.48700270430736,119.80162031566624,0.0,2.970888565059198e-06,0.0,-0.18145850461245572,0.0,0.0,0.0
2006-10,116.47750825324563,120.5382388023264,120.38824841898389,40358138.035040885,2.986714567893823e-06,2.982998083669197e-06,82.35744222879667,83.00952138454359,94.36809500390405,95.11527056028714,120.5382388023264,0.0,2.986714567893823e-06,0.0,-0.17642557771203327,0.0,0.0,0.0
2006-11,118.14078229406633,120.65234441875425,121.2930084903612,40392193.22094203,2.9870213721447532e-06,3.002882458669631e-06,82.43540459830126,83.63336716250936,94.37778877679101,95.74929969977694,120.65234441875425,0.0,2.9870213721447532e-06,0.0,-0.17564595401698746,0.0,0.0,0.0
2006-12,119.60317208093002,123.36357601009584,122.20801072550971,40425149.85245927,3.051654142540946e-06,3.0230688363935696e-06,84.28784662310122,84.26427506758266,96.41992279343879,96.39295843672218,123.36357601009584,0.0,3.051654142540946e-06,0.0,-0.15712153376898785,0.0,0.0,0.0
2007-01,114.70176482722367,122.10166943184552,123.12965561252766,40459205.03836041,3.0178959106111403e-06,3.043303878456961e-06,83.42565219294347,84.89976318176812,95.35329926263309,97.0381688749035,123.36357601009584,-1.0229166655699506,3.051654142540946e-06,-1.1062273230510011,-0.16574347807056522,0.0,0.0,0.0
2007-02,112.74324828605302,124.63894369744415,124.05584811006081,40493260.22426155,3.07801700843951e-06,3.06361719019435e-06,85.15923832149423,85.53838694230834,97.25288268201804,97.68587500400054,124.63894369744415,0.0,3.07801700843951e-06,0.0,-0.14840761678505765,0.0,0.0,0.0
2007-03,129.28276498944658,126.42299958168975,124.98429269440928,40524019.74701097,3.1197053098616816e-06,3.08420273888619e-06,86.37818992456732,86.17856355083092,98.57006432081558,98.34226162529124,126.42299958168975,0.0,3.1197053098616816e-06,0.0,-0.13621810075432683,0.0,0.0,0.0
2007-04,133.46308313008805,125.43393794955807,125.9124009620781,40558074.93291211,3.0926994971295052e-06,3.1044964823984424e-06,85.70241610342674,86.81850826390706,97.71678991389265,98.98934380593907,126.42299958168975,-0.7823431143101356,3.1197053098616816e-06,-0.8656526835021383,-0.14297583896573263,0.0,0.0,0.0
2007-05,147.60791074167543,127.20552158541089,126.83573116667858,40591031.56442935,3.1338331814381227e-06,3.124723030636822e-06,86.91284607480287,87.45515843010129,99.01644789608595,99.63428341174257,127.20552158541089,0.0,3.1338331814381227e-06,0.0,-0.13087153925197126,0.0,0.0,0.0
