persona_id,persona,ambito,poder,nivel_cargo,cargo,jurisdiccion,partido_o_alianza,mandato_inicio,mandato_fin,estado_actividad,fuente_padron_url,fuente_padron_local,regimen_ddjj_actual,estado_ddjj_cargo_actual,detalle_ddjj_cargo_actual,fuente_ddjj_actual_url,oa_historial_2017_2024_estado,oa_historial_nombres,oa_anios_2017_2024,oa_cantidad_anios_2017_2024,oa_primer_anio,oa_ultimo_anio,serie_tab_id,nota_cobertura
prov-cba-leg-hernandez-maqueda-gregorio,Gregorio Hernández Maqueda,Provincial,Legislativo,Legislaturas provinciales,Legislador/a provincial,Córdoba,Mejor Futuro,2023,2027,activo_al_2026-09-01,https://legislaturacba.gob.ar/composicion-de-la-camara/,sources/subnational_roster/cordoba_legisladores_vigentes_2026-09-01.json,Legislatura de Córdoba · publicación institucional,ruta_provincial_localizada_sin_cruce_nominal,La sección oficial de DDJJ fue respaldada; falta verificación persona por persona.,https://legislaturacba.gob.ar/declaraciones-juradas/,sin_nombre_compatible_oa_2017_2024,,,0,,,,Banca 70 · distrito Distrito único. No se publican DNI ni datos de contacto en el derivado.
prov-sf-dip-agosto-walter,Walter AGOSTO,Provincial,Legislativo,Legislaturas provinciales,Diputado/a provincial,Santa Fe,HACEMOS SANTA FE,2023,2027,activo_al_2026-09-01,https://diputadossantafe.gov.ar/web/camara/diputados,sources/subnational_roster/santa_fe_diputados_vigentes_2026-09-01.html,Régimen provincial · ruta documental por relevar,ruta_provincial_por_relevar,No se localizó todavía un listado nominal institucional de presentaciones.,,nombre_compatible_unico_en_oa,AGOSTO WALTER ALFREDO,2018|2019,2,2018,2019,,La nómina y el bloque provienen de la Cámara de Diputadas y Diputados de Santa Fe.
prov-sf-dip-arena-celia,Celia ARENA,Provincial,Legislativo,Legislaturas provinciales,Diputado/a provincial,Santa Fe,HACEMOS SANTA FE,2023,2027,activo_al_2026-09-01,https://diputadossantafe.gov.ar/web/camara/diputados,sources/subnational_roster/santa_fe_diputados_vigentes_2026-09-01.html,Régimen provincial · ruta documental por relevar,ruta_provincial_por_relevar,No se localizó todavía un listado nominal institucional de presentaciones.,,nombre_compatible_unico_en_oa,ARENA CELIA ISABEL,2017,1,2017,2017,,La nómina y el bloque provienen de la Cámara de Diputadas y Diputados de Santa Fe.
prov-sf-dip-arganaraz-juan-domingo,Juan Domingo ARGAÑARÁZ,Provincial,Legislativo,Legislaturas provinciales,Diputado/a provincial,Santa Fe,INSPIRAR,2023,2027,activo_al_2026-09-01,https://diputadossantafe.gov.ar/web/camara/diputados,sources/subnational_roster/santa_fe_diputados_vigentes_2026-09-01.html,Régimen provincial · ruta documental por relevar,ruta_provincial_por_relevar,No se localizó todavía un listado nominal institucional de presentaciones.,,nombre_compatible_unico_en_oa,ARGAÑARAZ JUAN DOMINGO,2020,1,2020,2020,,La nómina y el bloque provienen de la Cámara de Diputadas y Diputados de Santa Fe.
prov-sf-dip-armas-belavi-natalia,Natalia ARMAS BELAVI,Provincial,Legislativo,Legislaturas provinciales,Diputado/a provincial,Santa Fe,VIDA Y FAMILIA,2023,2027,activo_al_2026-09-01,https://diputadossantafe.gov.ar/web/camara/diputados,sources/subnational_roster/santa_fe_diputados_vigentes_2026-09-01.html,Régimen provincial · ruta documental por relevar,ruta_provincial_por_relevar,No se localizó todavía un listado nominal institucional de presentaciones.,,sin_nombre_compatible_oa_2017_2024,,,0,,,,La nómina y el bloque provienen de la Cámara de Diputadas y Diputados de Santa Fe.
prov-sf-dip-azanza-alicia,Alicia AZANZA,Provincial,Legislativo,Legislaturas provinciales,Diputado/a provincial,Santa Fe,SOMOS VIDA,2023,2027,activo_al_2026-09-01,https://diputadossantafe.gov.ar/web/camara/diputados,sources/subnational_roster/santa_fe_diputados_vigentes_2026-09-01.html,Régimen provincial · ruta documental por relevar,ruta_provincial_por_relevar,No se localizó todavía un listado nominal institucional de presentaciones.,,sin_nombre_compatible_oa_2017_2024,,,0,,,,La nómina y el bloque provienen de la Cámara de Diputadas y Diputados de Santa Fe.
prov-sf-dip-balague-claudia,Claudia BALAGUÉ,Provincial,Legislativo,Legislaturas provinciales,Diputado/a provincial,Santa Fe,FRENTE AMPLIO POR LA SOBERANÍA,2023,2027,activo_al_2026-09-01,https://diputadossantafe.gov.ar/web/camara/diputados,sources/subnational_roster/santa_fe_diputados_vigentes_2026-09-01.html,Régimen provincial · ruta documental por relevar,ruta_provincial_por_relevar,No se localizó todavía un listado nominal institucional de presentaciones.,,sin_nombre_compatible_oa_2017_2024,,,0,,,,La nómina y el bloque provienen de la Cámara de Diputadas y Diputados de Santa Fe.
prov-sf-dip-bellatti-rosana,Rosana BELLATTI,Provincial,Legislativo,Legislaturas provinciales,Diputado/a provincial,Santa Fe,SOCIALISTA,2023,2027,activo_al_2026-09-01,https://diputadossantafe.gov.ar/web/camara/diputados,sources/subnational_roster/santa_fe_diputados_vigentes_2026-09-01.html,Régimen provincial · ruta documental por relevar,ruta_provincial_por_relevar,No se localizó todavía un listado nominal institucional de presentaciones.,,sin_nombre_compatible_oa_2017_2024,,,0,,,,La nómina y el bloque provienen de la Cámara de Diputadas y Diputados de Santa Fe.
prov-sf-dip-bermudez-ariel,Ariel BERMÚDEZ,Provincial,Legislativo,Legislaturas provinciales,Diputado/a provincial,Santa Fe,CREO,2023,2027,activo_al_2026-09-01,https://diputadossantafe.gov.ar/web/camara/diputados,sources/subnational_roster/santa_fe_diputados_vigentes_2026-09-01.html,Régimen provincial · ruta documental por relevar,ruta_provincial_por_relevar,No se localizó todavía un listado nominal institucional de presentaciones.,,nombre_compatible_unico_en_oa,BERMUDEZ ARIEL EDUARDO,2017|2018,2,2017,2018,,La nómina y el bloque provienen de la Cámara de Diputadas y Diputados de Santa Fe.
prov-sf-dip-blanco-joaquin-andres,Joaquín Andrés BLANCO,Provincial,Legislativo,Legislaturas provinciales,Diputado/a provincial,Santa Fe,SOCIALISTA,2023,2027,activo_al_2026-09-01,https://diputadossantafe.gov.ar/web/camara/diputados,sources/subnational_roster/santa_fe_diputados_vigentes_2026-09-01.html,Régimen provincial · ruta documental por relevar,ruta_provincial_por_relevar,No se localizó todavía un listado nominal institucional de presentaciones.,,sin_nombre_compatible_oa_2017_2024,,,0,,,,La nómina y el bloque provienen de la Cámara de Diputadas y Diputados de Santa Fe.
prov-sf-dip-bonfatti-antonio,Antonio BONFATTI,Provincial,Legislativo,Legislaturas provinciales,Diputado/a provincial,Santa Fe,SOCIALISTA,2023,2027,activo_al_2026-09-01,https://diputadossantafe.gov.ar/web/camara/diputados,sources/subnational_roster/santa_fe_diputados_vigentes_2026-09-01.html,Régimen provincial · ruta documental por relevar,ruta_provincial_por_relevar,No se localizó todavía un listado nominal institucional de presentaciones.,,sin_nombre_compatible_oa_2017_2024,,,0,,,,La nómina y el bloque provienen de la Cámara de Diputadas y Diputados de Santa Fe.
prov-sf-dip-brouwer-beatriz,Beatriz BROUWER,Provincial,Legislativo,Legislaturas provinciales,Diputado/a provincial,Santa Fe,UNITE,2023,2027,activo_al_2026-09-01,https://diputadossantafe.gov.ar/web/camara/diputados,sources/subnational_roster/santa_fe_diputados_vigentes_2026-09-01.html,Régimen provincial · ruta documental por relevar,ruta_provincial_por_relevar,No se localizó todavía un listado nominal institucional de presentaciones.,,sin_nombre_compatible_oa_2017_2024,,,0,,,,La nómina y el bloque provienen de la Cámara de Diputadas y Diputados de Santa Fe.
prov-sf-dip-calaianov-leonardo,Leonardo CALAIANOV,Provincial,Legislativo,Legislaturas provinciales,Diputado/a provincial,Santa Fe,SOCIALISTA,2023,2027,activo_al_2026-09-01,https://diputadossantafe.gov.ar/web/camara/diputados,sources/subnational_roster/santa_fe_diputados_vigentes_2026-09-01.html,Régimen provincial · ruta documental por relevar,ruta_provincial_por_relevar,No se localizó todavía un listado nominal institucional de presentaciones.,,sin_nombre_compatible_oa_2017_2024,,,0,,,,La nómina y el bloque provienen de la Cámara de Diputadas y Diputados de Santa Fe.
prov-sf-dip-castellani-maria-fernanda,María Fernanda CASTELLANI,Provincial,Legislativo,Legislaturas provinciales,Diputado/a provincial,Santa Fe,PRO,2023,2027,activo_al_2026-09-01,https://diputadossantafe.gov.ar/web/camara/diputados,sources/subnational_roster/santa_fe_diputados_vigentes_p2_2026-09-01.html,Régimen provincial · ruta documental por relevar,ruta_provincial_por_relevar,No se localizó todavía un listado nominal institucional de presentaciones.,,nombre_compatible_unico_en_oa,CASTELLANI MARIA FERNANDA,2020,1,2020,2020,,La nómina y el bloque provienen de la Cámara de Diputadas y Diputados de Santa Fe.
prov-sf-dip-cattalini-lionella,Lionella CATTALINI,Provincial,Legislativo,Legislaturas provinciales,Diputado/a provincial,Santa Fe,SOCIALISTA,2023,2027,activo_al_2026-09-01,https://diputadossantafe.gov.ar/web/camara/diputados,sources/subnational_roster/santa_fe_diputados_vigentes_p2_2026-09-01.html,Régimen provincial · ruta documental por relevar,ruta_provincial_por_relevar,No se localizó todavía un listado nominal institucional de presentaciones.,,sin_nombre_compatible_oa_2017_2024,,,0,,,,La nómina y el bloque provienen de la Cámara de Diputadas y Diputados de Santa Fe.
prov-sf-dip-cejas-fabian,Fabian Cejas,Provincial,Legislativo,Legislaturas provinciales,Diputado/a provincial,Santa Fe,SOCIALISTA,2023,2027,activo_al_2026-09-01,https://diputadossantafe.gov.ar/web/camara/diputados,sources/subnational_roster/santa_fe_diputados_vigentes_p2_2026-09-01.html,Régimen provincial · ruta documental por relevar,ruta_provincial_por_relevar,No se localizó todavía un listado nominal institucional de presentaciones.,,sin_nombre_compatible_oa_2017_2024,,,0,,,,La nómina y el bloque provienen de la Cámara de Diputadas y Diputados de Santa Fe.
prov-sf-dip-corach-marcos,Marcos CORACH,Provincial,Legislativo,Legislaturas provinciales,Diputado/a provincial,Santa Fe,HACEMOS SANTA FE,2023,2027,activo_al_2026-09-01,https://diputadossantafe.gov.ar/web/camara/diputados,sources/subnational_roster/santa_fe_diputados_vigentes_p2_2026-09-01.html,Régimen provincial · ruta documental por relevar,ruta_provincial_por_relevar,No se localizó todavía un listado nominal institucional de presentaciones.,,sin_nombre_compatible_oa_2017_2024,,,0,,,,La nómina y el bloque provienen de la Cámara de Diputadas y Diputados de Santa Fe.
prov-sf-dip-corral-jose,José CORRAL,Provincial,Legislativo,Legislaturas provinciales,Diputado/a provincial,Santa Fe,UCR,2023,2027,activo_al_2026-09-01,https://diputadossantafe.gov.ar/web/camara/diputados,sources/subnational_roster/santa_fe_diputados_vigentes_p2_2026-09-01.html,Régimen provincial · ruta documental por relevar,ruta_provincial_por_relevar,No se localizó todavía un listado nominal institucional de presentaciones.,,nombre_compatible_unico_en_oa,CORRAL JOSE MANUEL,2021|2022|2023,3,2021,2023,,La nómina y el bloque provienen de la Cámara de Diputadas y Diputados de Santa Fe.
prov-sf-dip-cuvertino-mariano,Mariano CUVERTINO,Provincial,Legislativo,Legislaturas provinciales,Diputado/a provincial,Santa Fe,SOCIALISTA,2023,2027,activo_al_2026-09-01,https://diputadossantafe.gov.ar/web/camara/diputados,sources/subnational_roster/santa_fe_diputados_vigentes_p2_2026-09-01.html,Régimen provincial · ruta documental por relevar,ruta_provincial_por_relevar,No se localizó todavía un listado nominal institucional de presentaciones.,,sin_nombre_compatible_oa_2017_2024,,,0,,,,La nómina y el bloque provienen de la Cámara de Diputadas y Diputados de Santa Fe.
prov-sf-dip-de-ponti-lucila,Lucila DE PONTI,Provincial,Legislativo,Legislaturas provinciales,Diputado/a provincial,Santa Fe,BLOQUE PERONISTA,2023,2027,activo_al_2026-09-01,https://diputadossantafe.gov.ar/web/camara/diputados,sources/subnational_roster/santa_fe_diputados_vigentes_p2_2026-09-01.html,Régimen provincial · ruta documental por relevar,ruta_provincial_por_relevar,No se localizó todavía un listado nominal institucional de presentaciones.,,nombre_compatible_unico_en_oa,DE PONTI LUCILA MARIA,2017|2018|2019|2020,4,2017,2020,,La nómina y el bloque provienen de la Cámara de Diputadas y Diputados de Santa Fe.
prov-sf-dip-del-frade-carlos-alfredo,Carlos Alfredo DEL FRADE,Provincial,Legislativo,Legislaturas provinciales,Diputado/a provincial,Santa Fe,FRENTE AMPLIO POR LA SOBERANÍA,2023,2027,activo_al_2026-09-01,https://diputadossantafe.gov.ar/web/camara/diputados,sources/subnational_roster/santa_fe_diputados_vigentes_p2_2026-09-01.html,Régimen provincial · ruta documental por relevar,ruta_provincial_por_relevar,No se localizó todavía un listado nominal institucional de presentaciones.,,sin_nombre_compatible_oa_2017_2024,,,0,,,,La nómina y el bloque provienen de la Cámara de Diputadas y Diputados de Santa Fe.
prov-sf-dip-di-stefano-silvana,Silvana DI STEFANO,Provincial,Legislativo,Legislaturas provinciales,Diputado/a provincial,Santa Fe,UCR,2023,2027,activo_al_2026-09-01,https://diputadossantafe.gov.ar/web/camara/diputados,sources/subnational_roster/santa_fe_diputados_vigentes_p2_2026-09-01.html,Régimen provincial · ruta documental por relevar,ruta_provincial_por_relevar,No se localizó todavía un listado nominal institucional de presentaciones.,,sin_nombre_compatible_oa_2017_2024,,,0,,,,La nómina y el bloque provienen de la Cámara de Diputadas y Diputados de Santa Fe.
