persona_id,persona,nivel_cargo_actual,jurisdiccion_actual,oa_nombre,oa_person_key,estado_revision_identidad,anio,tipo_ddjj,rectificativa,dj_id,organismo_oa,cargo_oa,total_bienes_ars,deudas_ars,diferencia_valuacion_ars,ingresos_neto_gastos_ars,fuente_url,publicable_en_tab
dip-bregman-myriam,Myriam Bregman,Diputados nacionales,Ciudad De Buenos Aires,BREGMAN MYRIAM TERESA,c501f7ad6b598dda,identidad_confirmada_cruce_oficial,2024,Anual,0,821031,,CANDIDATA A DIPUTADA NACIONAL,3324896.81,0.00,1660564.75,22302691.04,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-bruno-eliana,Eliana Bruno,Diputados nacionales,Salta,BRUNO ELIANA LORENA,61a15be9cf0090e5,revision_manual_identidad,2022,Anual,0,677336,,,0.00,0.00,0.00,0.00,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,no · identidad pendiente
dip-bruno-eliana,Eliana Bruno,Diputados nacionales,Salta,BRUNO ELIANA LORENA,61a15be9cf0090e5,revision_manual_identidad,2024,Anual,0,799043,ADMINISTRACION NACIONAL DE LA SEGURIDAD SOCIAL ANS,JEFATURA OFICINA ORAN,742616090.00,0.00,23267990.00,25760836.52,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,no · identidad pendiente
dip-brugge-juan-fernando,Juan Fernando Brügge,Diputados nacionales,Cordoba,BRUGGE JUAN FERNANDO,a1c15e99de8b8ed9,identidad_confirmada_cruce_oficial,2017,Anual,0,316760,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,DIPUTADO NACIONAL,4652259.41,61229.55,0.00,1821300.21,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-brugge-juan-fernando,Juan Fernando Brügge,Diputados nacionales,Cordoba,BRUGGE JUAN FERNANDO,a1c15e99de8b8ed9,identidad_confirmada_cruce_oficial,2018,Anual,0,369807,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,DIPUTADO NACIONAL,7251433.95,1090133.81,0.00,2288794.88,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-brugge-juan-fernando,Juan Fernando Brügge,Diputados nacionales,Cordoba,BRUGGE JUAN FERNANDO,a1c15e99de8b8ed9,identidad_confirmada_cruce_oficial,2019,Baja,0,419046,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,DIPUTADO NACIONAL,7751439.80,772810.00,6200000.00,3378480.81,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-brugge-juan-fernando,Juan Fernando Brügge,Diputados nacionales,Cordoba,BRUGGE JUAN FERNANDO,a1c15e99de8b8ed9,identidad_confirmada_cruce_oficial,2022,Anual,0,676057,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,DIPUTADO NACIONAL,23435492.05,7901765.97,0.00,6609840.52,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-brugge-juan-fernando,Juan Fernando Brügge,Diputados nacionales,Cordoba,BRUGGE JUAN FERNANDO,a1c15e99de8b8ed9,identidad_confirmada_cruce_oficial,2023,Anual,0,710748,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,DIPUTADO NACIONAL,56802358.11,17009574.76,26893179.78,11538335.27,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-brugge-juan-fernando,Juan Fernando Brügge,Diputados nacionales,Cordoba,BRUGGE JUAN FERNANDO,a1c15e99de8b8ed9,identidad_confirmada_cruce_oficial,2024,Anual,1,824821,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,DIPUTADO NACIONAL,104030846.68,237245610.00,0.00,61692074.72,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-cafiero-santiago,Santiago Cafiero,Diputados nacionales,Buenos Aires,CAFIERO SANTIAGO ANDRES,3864a16581d86a6c,identidad_confirmada_cruce_oficial,2019,Anual,0,467794,JEFATURA DE GABINETE DE MINISTROS,JEFE DE GABINETE DE MINISTROS,4850401.18,6450000.00,760649.42,1066159.50,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
