fecha,banco_real,banco_promedio_historico,banco_brecha_tecnica_pp,monto_personales,impacto_banco_nominal,impacto_hogar_banco_nominal,impacto_hogar_banco_constante,pf_real,pf_promedio_historico,pf_brecha_pp,monto_pf,impacto_hogar_pf_nominal,impacto_hogar_pf_constante,impacto_hogar_total_nominal,impacto_hogar_total,fintech_tna,fintech_real,fintech_promedio_historico,fintech_brecha_tecnica_pp,stock_fintech_constante_feb_2026,stock_fintech_constante_jul_2026,impacto_costo_fintech_constante,impacto_hogar_fintech_constante,impacto_hogar_total_ampliado,fintech_tasa_metodo,fintech_stock_metodo,fintech_tasa_observada,ipc,ipc_ref,factor_ipc,periodo_referencia,ventana
2023-01,0.625482,1.069151,-0.443669,98747210000.0,-438110980.790035,438110980.790035,4398082334.200013,-0.343171,-0.528703,0.185532,7266347996000.0,13481419378.8675,135336467265.02574,13919530359.657536,139734549599.22577,157.563095,6.698601,6.986491,-0.28789,1464836416666.6667,1651008826558.0452,-4753083172.317921,4753083172.317921,144487632771.5437,TNA oficial mensual,interpolado entre cortes oficiales,True,1202.979,12076.3937,10.03874,2026-07,espejo
2023-02,0.076294,1.069151,-0.992857,96255308000.0,-955677779.411191,955677779.411191,8997473483.66929,-0.897724,-0.528703,-0.369021,6778744402000.0,-25014973013.918423,-235509877111.6183,-24059295234.507233,-226512403627.949,156.741419,6.034137,6.986491,-0.952353,1415148833333.3333,1595006232875.7095,-15190095220.668089,15190095220.668089,-211322308407.2809,TNA oficial mensual,interpolado entre cortes oficiales,True,1282.7091,12076.3937,9.414756,2026-07,espejo
2023-03,-0.883175,1.069151,-1.952326,128384836000.0,-2506490821.467255,2506490821.467255,21915902410.93338,-1.775897,-0.528703,-1.247194,8997276405000.0,-112213468437.35489,-981156365067.3239,-109706977615.88763,-959240462656.3905,152.589882,4.681284,6.986491,-2.305207,1365461250000.0,1539003639193.374,-35477218106.144875,35477218106.144875,-923763244550.2456,TNA oficial mensual,interpolado entre cortes oficiales,True,1381.1601,12076.3937,8.74366,2026-07,espejo
2023-04,-1.466973,1.069151,-2.536124,121669331000.0,-3085685377.238226,3085685377.238226,24888849575.055492,-2.17923,-0.528703,-1.650527,8408098796000.0,-138777919274.78918,-1119369713661.7563,-135692233897.55096,-1094480864086.7008,151.190368,3.871221,6.986491,-3.11527,1315773666666.6667,1483001045511.0386,-46199486289.17132,46199486289.17132,-1048281377797.5295,TNA oficial mensual,interpolado entre cortes oficiales,True,1497.2147,12076.3937,8.065906,2026-07,espejo
2023-05,0.135582,1.069151,-0.933569,110109463000.0,-1027948059.79414,1027948059.79414,7693347950.780034,-0.458897,-0.528703,0.069806,10043791657000.0,7011194934.268793,52473042452.04593,8039142994.062933,60166390402.825966,159.698028,5.136193,6.986491,-1.850298,1266086083333.3333,1426998451828.703,-26403727451.66888,26403727451.66888,86570117854.49484,TNA oficial mensual,interpolado entre cortes oficiales,True,1613.5895,12076.3937,7.48418,2026-07,espejo
2023-06,2.578475,1.069151,1.509324,90920761000.0,1372288662.668319,-1372288662.668319,-9693604751.973835,1.47412,-0.528703,2.002823,10823141695000.0,216768398916.772,1531213686289.3074,215396110254.1037,1521520081537.3335,170.185529,7.768977,6.986491,0.782486,1216398500000.0,1370995858146.3672,10727849199.820385,-10727849199.820385,1510792232337.5132,TNA oficial mensual,interpolado entre cortes oficiales,True,1709.6115,12076.3937,7.063823,2026-07,espejo
2023-07,2.071716,1.069151,1.002565,108227919000.0,1085054993.18613,-1085054993.18613,-7207341753.920539,1.105103,-0.528703,1.633806,11488325545000.0,187696981484.53268,1246753667080.047,186611926491.34656,1239546325326.1265,171.489299,7.471847,6.986491,0.485356,1166710916666.6665,1314993264464.0315,6382395471.225369,-6382395471.225369,1233163929854.9011,TNA oficial mensual,interpolado entre cortes oficiales,True,1818.0838,12076.3937,6.642375,2026-07,espejo
2023-08,-2.882381,1.069151,-3.951532,141025634000.0,-5572673372.269225,5572673372.269225,32919997388.341217,-3.54392,-0.528703,-3.015217,13061259816000.0,-393825292925.86804,-2326482596144.5103,-388252619553.5988,-2293562598756.169,177.943517,2.122869,6.986491,-4.863622,1117023333333.3335,1258990670781.6963,-61232543752.10952,61232543752.10952,-2232330055004.0596,TNA oficial mensual,interpolado entre cortes oficiales,True,2044.2832,12076.3937,5.907398,2026-07,espejo
2023-09,-3.719846,1.069151,-4.788997,221200907000.0,-10593305296.726357,10593305296.726357,55502443571.7074,-3.113137,-0.528703,-2.584434,12583354212000.0,-325208452359.3259,-1703893475220.97,-314615147062.59955,-1648391031649.2627,198.936449,3.395384,6.986491,-3.591106,1067335750000.0,1202988077099.3606,-43200582740.97307,43200582740.97307,-1605190448908.2896,TNA oficial mensual,interpolado entre cortes oficiales,True,2304.9242,12076.3937,5.239389,2026-07,espejo
2023-10,1.290423,1.069151,0.221272,200472222000.0,443588445.069381,-443588445.069381,-2145978706.427008,1.471605,-0.528703,2.000308,12872918075000.0,257498043065.5098,1245716211743.9282,257054454620.44043,1243570233037.5012,201.535628,7.841884,6.986491,0.855393,1017648166666.6666,1146985483417.025,9811231127.32385,-9811231127.32385,1233759001910.1775,TNA oficial mensual,interpolado entre cortes oficiales,True,2496.273,12076.3937,4.83777,2026-07,espejo
