"periodo","rango_etario","cobertura_personales_pct_poblacion_del_rango","tramo_metodologico","umbral_saldo_deuda_reportable_pesos","fuente","nota"
"2025-06","35 - 39","41,71521","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2025-06","40 - 44","40,36903","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2025-06","45 - 49","37,77427","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2025-06","50 - 54","34,36827","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2025-06","55 - 59","31,37909","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2025-06","60 - 64","31,82562","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2025-06","65 - 69","32,52159","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2025-06","70 - 74","30,65668","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2025-06","75 - 79","25,80165","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2025-06","80 - 84","18,47134","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2025-06","85 - 89","8,81564","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2025-06","TOTAL","30,32218","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2025-12","15 - 19","3,26529","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2025-12","20 - 24","25,07375","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2025-12","25 - 29","36,85201","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2025-12","30 - 34","42,46297","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2025-12","35 - 39","44,50913","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2025-12","40 - 44","42,97627","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2025-12","45 - 49","40,70526","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2025-12","50 - 54","37,03694","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2025-12","55 - 59","33,91837","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2025-12","60 - 64","34,09109","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2025-12","65 - 69","34,85689","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2025-12","70 - 74","32,83083","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2025-12","75 - 79","27,94289","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2025-12","80 - 84","20,07535","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2025-12","85 - 89","9,64716","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2025-12","TOTAL","32,19603","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
